Angle_of_Attack,Cd,Cl,Cm,L_over_D,Case
-5,0.022927891156462585,-0.06124625850340137,-0.0044190476190476185,-2.6712556373130787,cfd_exports___Wing_A_baseline
-3,0.024408163265306124,-0.04471836734693878,-0.003673469387755102,-1.8321070234113712,cfd_exports___Wing_A_baseline
0,0.02672108843537415,-0.0011863945578231294,-0.002291156462585034,-0.044399185336048884,cfd_exports___Wing_A_baseline
2,0.028,0.023466666666666667,-0.0019156462585034014,0.8380952380952381,cfd_exports___Wing_A_baseline
4,0.030421768707482994,0.05161904761904761,-0.001164625850340136,1.6967799642218244,cfd_exports___Wing_A_baseline
6,0.03333333333333333,0.07738775510204081,-0.0005496598639455782,2.3216326530612243,cfd_exports___Wing_A_baseline
8,0.037469387755102036,0.10238367346938776,0.0002938775510204082,2.7324618736383446,cfd_exports___Wing_A_baseline
10,0.0420843537414966,0.12266666666666667,0.0009795918367346938,2.914780809517652,cfd_exports___Wing_A_baseline
12,0.04851700680272109,0.1350204081632653,0.0017414965986394559,2.782950084127874,cfd_exports___Wing_A_baseline
15,0.056353741496598636,0.1390748299319728,0.0027918367346938776,2.467889908256881,cfd_exports___Wing_A_baseline
-5,0.02642176870748299,-0.07897687074829932,-0.006612244897959184,-2.98908341915551,cfd_exports___Wing_A_flap15
-3,0.028789115646258502,-0.0603265306122449,-0.005681632653061224,-2.0954631379962194,cfd_exports___Wing_A_flap15
0,0.031156462585034014,-0.008462585034013606,-0.0044190476190476185,-0.2716157205240175,cfd_exports___Wing_A_flap15
2,0.03379591836734694,0.0316843537414966,-0.003325170068027211,0.9375201288244767,cfd_exports___Wing_A_flap15
4,0.03785034013605442,0.07825850340136055,-0.002187755102040816,2.0675772825305536,cfd_exports___Wing_A_flap15
6,0.0428843537414966,0.1173061224489796,-0.0012680272108843537,2.7354060913705585,cfd_exports___Wing_A_flap15
8,0.04840816326530612,0.1506938775510204,-0.00022312925170068026,3.1129848229342327,cfd_exports___Wing_A_flap15
10,0.055085714285714286,0.17462857142857144,0.0005551020408163266,3.170124481327801,cfd_exports___Wing_A_flap15
12,0.06351020408163266,0.18802721088435373,0.00156734693877551,2.960582690659811,cfd_exports___Wing_A_flap15
15,0.07311564625850339,0.19330612244897957,0.002296598639455782,2.6438407145515446,cfd_exports___Wing_A_flap15
-5,0.0211156462585034,-0.06548571428571429,,-3.1012886597938145,cfd_exports___Wing_B_highRe
-3,0.022068027210884352,-0.050176870748299324,,-2.273736128236745,cfd_exports___Wing_B_highRe
0,0.023891156462585033,-0.002780952380952381,,-0.11640091116173121,cfd_exports___Wing_B_highRe
2,0.025714285714285714,0.0265578231292517,,1.0328042328042328,cfd_exports___Wing_B_highRe
4,0.02819047619047619,0.05737142857142857,,2.0351351351351354,cfd_exports___Wing_B_highRe
6,0.03107482993197279,0.08598639455782313,,2.76707530647986,cfd_exports___Wing_B_highRe
8,0.0345578231292517,0.1118639455782313,,3.2370078740157484,cfd_exports___Wing_B_highRe
10,0.038721088435374154,0.13050340136054422,,3.370344342937456,cfd_exports___Wing_B_highRe
12,0.043673469387755105,0.14125170068027212,,3.234267912772586,cfd_exports___Wing_B_highRe
15,0.05028571428571429,0.14519727891156464,,2.8874458874458875,cfd_exports___Wing_B_highRe
